rank,code,year,journal,cites,doi,title,rules,note,openalex_id,has_abstract
409,PASS,2024,Natural Resources Forum,21,10.1111/1477-8947.12458,Nexus between technological innovation and environmental pollution in selected <scp>OECD</scp> countries,R1 two+ pillars,10 OECD countries 1994-2018: technological innovation -> ecological footprint (AMG/CCEMG/FMOLS/DOLS). Genre,https://openalex.org/W4393227851,True
414,EX1,2010,Australian Planner,20,10.1080/07293682.2010.508206,Tempering growth: planning for the challenges of climate change and growth management in SEQ,R1 two+ pillars,South East Queensland planning,https://openalex.org/W2007981205,True
424,EX1,2015,Journal of World-Systems Research,53,10.5195/jwsr.2015.529,"Breaking Ships in the World-System: An Analysis of Two Ship Breaking Capitals, Alang-Sosiya, India and Chittagong, Bangladesh",R4 displacement term + cross-national cue,"ship breaking, two cases",https://openalex.org/W147127987,True
439,PASS,2023,PLoS ONE,77,10.1371/journal.pone.0287715,"Green growth as a determinant of ecological footprint: Do ICT diffusion, environmental innovation, and natural resources matter?",R1 two+ pillars,"PLoS ONE 2023: green growth, ICT diffusion, environmental innovation, natural resources -> ecological footprint, E7 and D7 economies (CS-ARDL). Directly on the review's proxies (ICT, innovation)",https://openalex.org/W4386699897,True
442,THEORY,2022,European Journal of Economics and Economic Policies Intervention,2,10.4337/ejeep.2022.01.10,Economics of digital decoupling: a pluralistic analysis,R1 two+ pillars; R2 material term + cross-national cue,"economics of digital decoupling; pluralistic analytical essay, no empirical test; relevant to 4.2/6",https://openalex.org/W4312808064,True
443,EX1,2025,Sustainability,2,10.3390/su17104311,Investigating the Influence of Renewable Energy Use and Innovative Investments in the Transportation Sector on Environmental Sustainability—A Nonlinear Assessment,R1 two+ pillars; R2 material term + cross-national cue,France transport,https://openalex.org/W4410235035,True
449,THEORY,2016,Journal of Political Ecology,24,10.2458/v23i1.20223,"Linking ecological debt and ecologically unequal exchange: stocks, flows, and unequal sink appropriation",R4 displacement term + cross-national cue,"ecological debt and EUE, conceptual",https://openalex.org/W2562324168,True
455,EX1,2022,One Earth,44,10.1016/j.oneear.2021.12.011,Different Material Footprint Trends between China and the World in 2007-2012 Explained by Construction- and Manufacturing-associated Investment,"R2 material term + cross-national cue; R3 no abstract, material term in title",One Earth 2022: China provinces' MF 2007-2012 vs world; single-country design with global comparison,https://openalex.org/W4205426769,True
458,PASS,2021,Environmental Science and Pollution Research,32,10.1007/s11356-021-14414-3,The impact of economic complexity on embodied carbon emission in trade: new empirical evidence from cross-country panel data,R1 two+ pillars,"ESPR 2021: economic complexity -> embodied carbon in exports/imports, 58 countries 1995-2015 (GMM). Tests the review's 'emerging proxy' against an emissions outcome; would qualify the claim that no included study tests economic complexity. Priority",https://openalex.org/W3165494894,True
459,OFF,2021,Frontiers in Sustainable Cities,69,10.3389/frsc.2021.690458,Co-creation Pathways to Inform Shared Governance of Urban Living Labs in Practice: Lessons From Three European Projects,R1 two+ pillars,urban living labs,https://openalex.org/W3188335903,True
460,OFF,2023,Journal of Cleaner Production,42,10.1016/j.jclepro.2023.140140,Circular economy as crisis response: A primer,R1 two+ pillars; R2 material term + cross-national cue,circular economy primer,https://openalex.org/W4389669213,True
464,EX1,2021,Journal of Environmental Planning and Management,15,10.1080/09640568.2021.1941809,Examining the antecedents and consequences of sustainable green supply chain management from the perspective of ecological modernization: evidence from Taiwan’s high-tech sector,R1 two+ pillars,Taiwan firm survey,https://openalex.org/W3185407092,True
466,DISP,2016,Sustainability,29,10.3390/su8121263,The Political Economy of the Water Footprint: A Cross-National Analysis of Ecologically Unequal Exchange,R4 displacement term + cross-national cue,"water footprint EUE regression, 138 countries; no technology indicator",https://openalex.org/W2559805026,True
471,EX1,2019,International Journal of Environmental Research and Public Health,30,10.3390/ijerph16234805,"Ecological Security Assessment Based on Ecological Footprint Approach in Hulunbeir Grassland, China",R1 two+ pillars,"Hulunbeir grassland, China",https://openalex.org/W2990126043,True
473,EX3,2024,Sustainability,64,10.3390/su16020643,Future Projections of Global Plastic Pollution: Scenario Analyses and Policy Implications,R1 two+ pillars,"global plastic pollution STIRPAT, 128 countries; outcome (plastic pollution) outside the defined biophysical set",https://openalex.org/W4390751343,True
480,PASS,2020,Polish Journal of Environmental Studies,18,10.15244/pjoes/110613,(De)coupling Analysis with Focus on EnergyConsumption in EU Countries and Its SpatialEvaluation,R1 two+ pillars; R2 material term + cross-national cue,"EU countries 2008-2016: decoupling of energy consumption and GHG from GDP, cross-country comparison; decoupling assessed directly. Low-tier journal",https://openalex.org/W3000782533,True
491,OFF,2023,Frontiers in Sustainability,60,10.3389/frsus.2023.1166642,Agents of (un)sustainability: democratising universities for the planetary crisis,R1 two+ pillars,universities and sustainability,https://openalex.org/W4382173829,True
494,OFF,2022,Journal of Political Ecology,36,10.2458/jpe.2292,Radical social innovations and the spatialities of grassroots activism: navigating pathways for tackling inequality and reinventing the commons,R1 two+ pillars; R4 displacement term + cross-national cue,grassroots innovations,https://openalex.org/W4223908209,True
496,EX1,2019,Sustainability,17,10.3390/su11236563,Factors Controlling Urban and Rural Indirect Carbon Dioxide Emissions in Household Consumption: A Case Study in Beijing,R1 two+ pillars,Beijing households,https://openalex.org/W2991527452,True
497,DISP,2016,Journal of Political Ecology,30,10.2458/v23i1.20240,"South America's biophysical involvement in international trade: the physical trade balances of Argentina, Bolivia, and Brazil in the light of ecologically unequal exchange",R4 displacement term + cross-national cue,"physical trade balances Argentina/Bolivia/Brazil, EUE; material flows, three countries",https://openalex.org/W2620413123,True
512,PASS,2023,Review of Development Economics,55,10.1111/rode.13077,"New insight into decoupling carbon emissions from economic growth: Do financialization, human capital, and energy security risk matter?",R1 two+ pillars; R2 material term + cross-national cue,"BRICS 1990-2019: Tapio decoupling index + CS-ARDL; financialisation, human capital, energy security; CO2. Decoupling assessed directly",https://openalex.org/W4390236533,True
513,OFF,2024,European Business Review,12,10.1108/ebr-02-2024-0088,Digital capabilities and market competitiveness: the two-fold mediation of internal and external drivers,R1 two+ pillars,"firm survey, digital capabilities",https://openalex.org/W4399789780,True
514,THEORY,2019,Journal of Political Ecology,44,10.2458/v26i1.22862,Towards a green modernization development discourse: the new green revolution in Africa,R4 displacement term + cross-national cue,"green modernisation discourse, Africa",https://openalex.org/W2921440405,True
515,OFF,2023,Urban Studies,46,10.1177/00420980231162234,Urbanizing degrowth: Five steps towards a Radical Spatial Degrowth Agenda for planning in the face of climate emergency,R4 displacement term + cross-national cue,urban degrowth agenda,https://openalex.org/W4361010166,True
527,EX3,2023,Buildings and Cities,11,10.5334/bc.297,Technological efficiency limitations to climate mitigation: why sufficiency is necessary,R1 two+ pillars; R2 material term + cross-national cue; R4 displacement term + cross-national cue,buildings sector critique; sufficiency essay,https://openalex.org/W4368240764,True
534,OFF,2022,Systems,48,10.3390/systems10030077,Smart Cities from the Perspective of Systems,R1 two+ pillars,smart cities systems review,https://openalex.org/W4282549828,True
535,EX2,2014,European Journal of Futures Research,22,10.1007/s40309-014-0048-3,Living within the safe operating space: a vision for a resource efficient Europe,R1 two+ pillars; R2 material term + cross-national cue,resource-efficient Europe vision,https://openalex.org/W2055574165,True
537,EX1,2019,Resources,22,10.3390/resources8020092,Concretizing Green Growth and Sustainable Business Models in the Water Sector of Jordan,R1 two+ pillars,Jordan water sector,https://openalex.org/W2944032611,True
540,THEORY,2023,Geo Geography and Environment,63,10.1002/geo2.128,Whose growth in whose planetary boundaries? Decolonising planetary justice in the Anthropocene,R4 displacement term + cross-national cue,decolonising planetary justice,https://openalex.org/W4385639663,True
543,EX1,2025,Management Research Review,10,10.1108/mrr-07-2024-0534,Venturing green: the impact of sustainable business model innovation on corporate environmental performance in social enterprises,R1 two+ pillars,Canadian social enterprises,https://openalex.org/W4408158945,True
544,PASS,2020,Resources Conservation and Recycling,29,10.1016/j.resconrec.2020.105226,Resource use and economic development: an exergy perspective on energy and material flows and stocks from 1900 to 2010,"R3 no abstract, material term in title",RCR 2020: global exergy perspective on energy and material flows and stocks 1900-2010; resource flows per unit of economic activity (intensity trends) reported; global; decoupling assessed directly,https://openalex.org/W3097453793,True
547,OFF,2018,Sustainability,46,10.3390/su10082796,Anticipating Constraints on Upscaling from Urban Innovation Experiments,R1 two+ pillars,urban experiments upscaling,https://openalex.org/W2886462286,True
548,OFF,2024,Sustainability,46,10.3390/su162411218,Microalgal Bioeconomy: A Green Economy Approach Towards Achieving Sustainable Development Goals,R1 two+ pillars; R2 material term + cross-national cue,microalgae,https://openalex.org/W4405696544,True
549,OFF,2015,Energy Sustainability and Society,21,10.1186/s13705-015-0068-2,A tale of three transitions: a year in the life of electricity system transformation narratives in the Irish media,R1 two+ pillars,Irish media,https://openalex.org/W2284635478,True
552,PASS-borderline,2024,Clean Technologies,45,10.3390/cleantechnol6030054,Decoupling Economic Growth from Carbon Emissions: A Transition toward Low-Carbon Energy Systems—A Critical Review,R1 two+ pillars; R2 material term + cross-national cue,Clean Technologies 2024: critical review of decoupling growth from carbon and low-carbon energy systems; global review; engineering orientation; quality to judge at full text,https://openalex.org/W4401695001,True
555,OFF,2022,Equilibrium Quarterly Journal of Economics and Economic Policy,44,10.24136/eq.2022.021,Meeting the European green deal objective of expanding organic farming,R1 two+ pillars; R2 material term + cross-national cue,organic farming EU,https://openalex.org/W4300961869,True
556,OFF,2024,Engineering Science & Technology Journal,44,10.51594/estj.v5i1.744,ADVANCED MATERIALS FOR SUSTAINABLE CONSTRUCTION: A REVIEW OF INNOVATIONS AND ENVIRONMENTAL BENEFITS,R1 two+ pillars; R2 material term + cross-national cue,construction materials review,https://openalex.org/W4391172763,True
559,EX2,2009,Global Environmental Politics,37,10.1162/glep.2009.9.1.79,"Capitalism, State Economic Policy and Ecological Footprint: An International Comparative Analysis",R2 material term + cross-national cue,"economic freedom index -> EF, 110 countries 1996-2003; no technology indicator, no decoupling test",https://openalex.org/W2066232092,True
560,EX2,2016,Sustainability,20,10.3390/su8080717,"Policies for a More Dematerialized EU Economy. Theoretical Underpinnings, Political Context and Expected Feasibility",R1 two+ pillars; R2 material term + cross-national cue,qualitative assessment of dematerialisation policy mix for the EU; no empirical test,https://openalex.org/W2398108414,True
564,EX1,2021,iScience,57,10.1016/j.isci.2021.103130,Decoupling without outsourcing? How China’s consumption-based CO2 emissions have plateaued,"R3 no abstract, material term in title",China consumption-based CO2,https://openalex.org/W3200900558,True
566,PASS,2015,International Journal of Sustainable Development & World Ecology,36,10.1080/13504509.2015.1088485,Decoupling: a step toward sustainable development with reference to OECD countries,R2 material term + cross-national cue,"IJSD 2015: decoupling indicators (OECD DPSIR) across OECD countries; relative vs absolute decoupling for GHG, CO2, energy, water, waste; decoupling assessed directly",https://openalex.org/W2152471389,True
568,THEORY,2020,Culture and Organization,133,10.1080/14759551.2020.1717733,Introduction to the special issue on the contested realities of the circular economy,R2 material term + cross-national cue,circular economy special issue introduction; contested promise (interpretive),https://openalex.org/W3004644317,True
571,PASS,2024,Sustainability,9,10.3390/su16062243,Investigating the Impact of Multiple Factors on CO2 Emissions: Insights from Quantile Analysis,R1 two+ pillars,"14 Asian emitters 1996-2020: alternative energy, ICT development, FDI, urbanisation -> CO2 (MMQR etc.). Genre; ICT indicator",https://openalex.org/W4392562141,True
584,DISP,2010,Journal für Entwicklungspolitik,24,10.20446/jep-2414-3197-26-4-57,How unequal is international trade? An ecological perspective using Material Flow Accounting (MFA),R2 material term + cross-national cue,MFA-based ecological perspective on unequal international trade (2010); abstract truncated,https://openalex.org/W2605728354,True
586,OFF,2021,Energies,18,10.3390/en14165107,Toward Low-Carbon European Union Society: Young Poles’ Perception of Climate Neutrality,R1 two+ pillars; R2 material term + cross-national cue,young Poles' perceptions,https://openalex.org/W3195263054,True
587,THEORY,2018,,24,10.1007/978-3-319-89740-0_11,Splintering South: Ecologically Unequal Exchange Theory in a Fragmented Global Climate,R4 displacement term + cross-national cue,duplicate record of 'Splintering South',https://openalex.org/W4229773784,False
588,THEORY,2022,Oxford Open Climate Change,18,10.1093/oxfclm/kgac004,Catalyzing industrial decarbonization: the promissory legitimacy of fossil-free Sweden,R1 two+ pillars,fossil-free Sweden sociotechnical imaginary; interpretive,https://openalex.org/W4285093646,True
589,PASS-borderline,2022,European Journal of Economics and Economic Policies Intervention,18,10.4337/ejeep.2022.01.04,"Growth in the ecological transition: green, zero or de-growth?",R1 two+ pillars; R4 displacement term + cross-national cue,"EJEEP 2022: green/zero/de-growth scenarios, GDP growth vs emission-intensity reduction, global; scenario arithmetic, decoupling directly; essay character",https://openalex.org/W4313170655,True
590,EX2,2023,Sustainability,18,10.3390/su151813645,An Integrated Approach to Analyze the Progress of Developing Economies in Asia toward the Sustainable Development Goals,R1 two+ pillars; R2 material term + cross-national cue,descriptive SDG progress in Asia; no systematic decoupling or technology test,https://openalex.org/W4386645005,True
595,DISP,2020,Sociological Perspectives,27,10.1177/0731121420908900,Deforestation in the Global South: Assessing Uneven Environmental Improvements 1993–2013,R4 displacement term + cross-national cue,"deforestation 73 countries 1993-2013, EUE and institutionalism",https://openalex.org/W3013947548,True
597,EX1,2013,Resources,17,10.3390/resources2030151,Identifying Key Sectors and Measures for a Transition towards a Low Resource Economy,R1 two+ pillars; R2 material term + cross-national cue,Finland IO analysis,https://openalex.org/W2007271211,True
602,PASS-borderline,2021,Resources Conservation and Recycling,63,10.1016/j.resconrec.2021.106122,From resource extraction to manufacturing and construction: flows of stock-building materials in 177 countries from 1900 to 2016,R2 material term + cross-national cue,"RCR 2021: ew-MFA database of 14 stock-building materials, 177 countries 1900-2016; dataset paper; check whether intensity trends are reported (companion of rank 283)",https://openalex.org/W4200342938,True
603,OFF,2021,Frontiers in Public Health,36,10.3389/fpubh.2021.663783,Development and Assessment of a Brazilian Pilot Massive Open Online Course in Planetary Health Education: An Innovative Model for Primary Care Professionals and Community Training,R1 two+ pillars,MOOC planetary health,https://openalex.org/W4200506494,True
604,OFF,2022,Problems and Perspectives in Management,36,10.21511/ppm.20(2).2022.15,Additive economy and new horizons of innovative business development,R1 two+ pillars,additive economy essay,https://openalex.org/W4225319067,True
605,OFF,2021,Interaction design & architecture(s)/ID&A Interaction design & architecture(s),36,10.55612/s-5002-050-006,Non-human Personas. Including Nature in the Participatory Design of Smart Cities,R1 two+ pillars,non-human personas,https://openalex.org/W4226163606,True
615,PASS,2022,Energy Policy,28,10.1016/j.enpol.2022.113247,Does the European Union energy policy support progress in decoupling economic growth from emissions?,"R2 material term + cross-national cue; R3 no abstract, material term in title",Energy Policy 2022: does EU energy policy support decoupling growth from emissions? No abstract retrievable; title indicates cross-national EU decoupling analysis. Full text needed,https://openalex.org/W4295677951,False
622,PASS,2021,Journal of Cleaner Production,38,10.1016/j.jclepro.2021.129130,Decoupling trends of emissions across EU regions and the role of environmental policies,"R3 no abstract, material term in title","JCP 2021: decoupling of eight emission types from output across EU NUTS-2 regions 1995-2015, policy stringency event study; multi-country, decoupling directly",https://openalex.org/W3203648583,True
626,PASS-borderline,2023,Ecological Economics,27,10.1016/j.ecolecon.2023.108000,Inconsistent definitions of GDP: Implications for estimates of decoupling,"R3 no abstract, material term in title",Ecological Economics 2023: GDP definition vintages change decoupling estimates; methodological; US example plus PPP comparisons. Candidate for Section 6.5 measurement limitations rather than corpus,https://openalex.org/W4387226912,True
629,OFF,2022,Sustainability,33,10.3390/su14095275,Emerging Trends and Knowledge Structures of Smart Urban Governance,R1 two+ pillars,smart urban governance bibliometric,https://openalex.org/W4224996045,True
632,DISP,2019,The Social Science Journal,17,10.1016/j.soscij.2019.01.009,A study of ecologically unequal exchange for 89 countries between 1990 and 2015,R4 displacement term + cross-national cue,"Social Science Journal 2019: EUE for 89 countries 1990-2015, production- vs consumption-based CO2, HICs net exporters of emissions; displacement test. Priority for Section 5",https://openalex.org/W2911308729,True
635,EX3,2021,Global Sustainability,42,10.1017/sus.2021.28,A safe and just space for urban mobility: a framework for sector-based sustainable consumption corridor development,R2 material term + cross-national cue,urban mobility consumption corridor framework,https://openalex.org/W4200108214,True
639,EX1,2022,International Journal of Environmental Research and Public Health,14,10.3390/ijerph19159483,"Exploration of Spatio-Temporal Characteristics of Carbon Emissions from Energy Consumption and Their Driving Factors: A Case Analysis of the Yangtze River Delta, China",R1 two+ pillars,Yangtze River Delta,https://openalex.org/W4289524781,True
646,OFF,2021,Wiley Interdisciplinary Reviews Water,30,10.1002/wat2.1512,Resocializing digital water transformations: Outlining social science perspectives on the digital water journey,R1 two+ pillars,digital water,https://openalex.org/W3129028597,True
647,EX1,2023,Sustainability,30,10.3390/su151410914,Analysis of Carbon Emission Reduction at the Port of Integrated Logistics: The Port of Shanghai Case Study,R1 two+ pillars,Shanghai port,https://openalex.org/W4384202154,True
648,THEORY,2023,Sustainability Science,24,10.1007/s11625-023-01302-7,"Is the EU shirking responsibility for its deforestation footprint in tropical countries? Power, material, and epistemic inequalities in the EU’s global environmental governance",R4 displacement term + cross-national cue,EU deforestation footprint governance critique,https://openalex.org/W4321351657,True
655,OFF,2017,European Energy and Environmental Law Review,29,10.54648/eelr2017009,Waste Prevention and Technologies in the Context of the EU Waste Framework Directive: Lost in Translation?,R1 two+ pillars; R2 material term + cross-national cue,waste framework directive law,https://openalex.org/W2619655581,True
667,PASS,2020,Sustainability,49,10.3390/su12093867,Energy Related CO2 Emissions before and after the Financial Crisis,R2 material term + cross-national cue,"Sustainability 2020: LMDI decomposition of energy CO2 drivers (carbon intensity, energy intensity, activity, population) for G19 before/after 2008; cross-national decomposition (cf. Le Quere 2019)",https://openalex.org/W3023039829,True
668,OFF,2025,Nature Sustainability,16,10.1038/s41893-025-01562-4,Ten principles for transforming economics in a time of global crises,R1 two+ pillars; R4 displacement term + cross-national cue,ten principles for economics,https://openalex.org/W4410603634,True
676,EX4,2017,Econstor (Econstor),26,,"Urbanization, energy consumption, and pollutant emission in Asian developing economies: An empirical analysis",R1 two+ pillars,Econstor working paper (not peer-reviewed); Asian developing economies panel,https://openalex.org/W2725016372,True
677,OFF,2021,Sustainability,26,10.3390/su131910631,Transformation towards Risk-Sensitive Urban Development: A Systematic Review of the Issues and Challenges,R1 two+ pillars,risk-sensitive urban development,https://openalex.org/W3204870665,True
678,OFF,2024,Sustainable Development,26,10.1002/sd.3027,Renewable energy and sustainable development goals: Insights from <scp>latent dirichlet allocation</scp> thematic and bibliometric analysis,R1 two+ pillars,bibliometric renewable energy/SDGs,https://openalex.org/W4396778022,True
686,EX1,2017,Polish Journal of Environmental Studies,7,10.15244/pjoes/68962,Factors Driving Energy-Related Carbon Emissions in Xinjiang: Applying the Extended STIRPAT Model,R1 two+ pillars,Xinjiang,https://openalex.org/W2735853518,True
691,EX1,2023,Sustainability,25,10.3390/su151310610,The Impact of Green Finance on Carbon Emissions in China: An Energy Consumption Optimization Perspective,R1 two+ pillars,"China provinces, green finance",https://openalex.org/W4383346038,True
692,EX2,2023,,72,10.21201/2023.000001,Climate Equality: A planet for the 99%,R4 displacement term + cross-national cue,Oxfam 'Climate Equality' advocacy report; carbon inequality; no technology or decoupling test,https://openalex.org/W4388833111,True
694,EX1,2024,Revista de Administração de Empresas,5,10.1590/s0034-759020240301x,SUSTAINABILITY AND INNOVATION IN THE PET INDUSTRY: AN ANALYSIS FROM THE PERSPECTIVE OF ECOLOGICAL MODERNIZATION THEORY,R1 two+ pillars,Brazilian pet-industry startups,https://openalex.org/W4391943870,True
700,EX1,2020,Energies,24,10.3390/en13051212,"Analysis of CO2 Drivers and Emissions Forecast in a Typical Industry-Oriented County: Changxing County, China",R1 two+ pillars,"Changxing County, China",https://openalex.org/W3009939214,True
702,PASS,2024,Empirical Economics,24,10.1007/s00181-024-02579-y,Institutions and carbon emissions: an investigation employing STIRPAT and machine learning methods,R1 two+ pillars,"Empirical Economics 2024: institutions -> CO2, 22 EU countries 2002-2020, extended STIRPAT + EKC + ridge/lasso. Cross-national STIRPAT with technology term; genre",https://openalex.org/W4393126510,True
709,DISP,2016,Journal of Economic Structures,87,10.1186/s40008-016-0048-5,Identifying priority areas for European resource policies: a MRIO-based material footprint assessment,"R2 material term + cross-national cue; R3 no abstract, material term in title","Giljum et al. 2016: EU material footprint composition and geographical sources of raw materials, EXIOBASE 3, 1995-2011; embodied materials for EU final demand. Priority for Section 5",https://openalex.org/W2417137410,True
715,OFF,2019,Buildings,22,10.3390/buildings9090194,Circular and Flexible Indoor Partitioning—A Design Conceptualization of Innovative Materials and Value Chains,R1 two+ pillars; R2 material term + cross-national cue,indoor partitioning design,https://openalex.org/W2969937890,True
723,OFF,2015,Sustainability,172,10.3390/su7055211,"The New Global Urban Realm: Complex, Connected, Diffuse, and Diverse Social-Ecological Systems",R4 displacement term + cross-national cue,urban ecology framework,https://openalex.org/W1989302845,True
730,EX1,2020,Ciência Rural,21,10.1590/0103-8478cr20190818,"Temporal-spatial differences in and influencing factors of agricultural eco-efficiency in Shandong Province, China",R1 two+ pillars,Shandong counties,https://openalex.org/W3035883307,True
731,PASS-borderline,2022,Journal of Business Economics and Management,21,10.3846/jbem.2022.17022,TRANSITION TO A SUSTAINABLE ENERGY PRODUCTION AND CONSUMPTION MODEL – MAPPING THE PATTERNS OF SUCCESS,R1 two+ pillars; R2 material term + cross-national cue,"European countries energy-transition patterns via clustered heat maps; resource productivity with R&D, innovation, digitisation as factors; descriptive, low-tier journal",https://openalex.org/W4282979577,True
732,EX2,2022,Frontiers in Environmental Science,21,10.3389/fenvs.2022.971394,Testing non-linear effect of urbanization on environmental degradation: Cross-country evidence,R1 two+ pillars,"urbanisation and growth -> environmental degradation, 66 countries; no technology indicator",https://openalex.org/W4296483384,True
733,OFF,2024,Energy Sustainability and Society,21,10.1186/s13705-023-00429-w,Stakeholders’ perceptions of hydrogen and reflections on energy transition governance,R1 two+ pillars,hydrogen perceptions,https://openalex.org/W4392388346,True
734,THEORY,2024,Review of International Studies,21,10.1017/s0260210524000147,"Degrowth, global asymmetries, and ecosocial justice: Decolonial perspectives from Latin America",R1 two+ pillars; R4 displacement term + cross-national cue,"degrowth and global asymmetries, decolonial",https://openalex.org/W4392918108,True
735,OFF,2023,The Lancet,169,10.1016/s0140-6736(23)00919-4,"Envisioning environmental equity: climate change, health, and racial justice",R4 displacement term + cross-national cue,"climate, health and racial justice",https://openalex.org/W4378714438,True
736,EX1,2021,The Science of The Total Environment,96,10.1016/j.scitotenv.2021.145927,Decoupling of economic growth from CO2 emissions in Yangtze River Economic Belt cities,"R3 no abstract, material term in title",Yangtze River Economic Belt cities,https://openalex.org/W3130481019,True
743,EX1,2015,The Journal of Comparative Asian Development,4,10.1080/15339114.2015.1059056,"Institutional Framework for Low-Carbon Urban Infrastructure Investment: Some Evidence and Lessons from DKI Jakarta, Indonesia",R1 two+ pillars,Jakarta,https://openalex.org/W2135697092,True
745,EX3,2021,Sustainability Science Practice and Policy,21,10.1080/15487733.2021.1912907,A corridors and power-oriented perspective on energy-service demand and needs satisfaction,R2 material term + cross-national cue,consumption corridors for energy services; conceptual,https://openalex.org/W3171173869,True
749,EX2,2017,Environmental Research Letters,73,10.1088/1748-9326/aa68a5,Assessing sustainable biophysical human–nature connectedness at regional scales,R2 material term + cross-national cue,conceptual framework for regional biophysical connectedness; no test,https://openalex.org/W2602396444,True
750,EX3,2024,Journal of Industrial Ecology,12,10.1111/jiec.13485,The circular economy rebound effect: Reconceptualizing rebound approaches and mitigation opportunities from an ordonomic perspective,R1 two+ pillars,"circular economy rebound, conceptual forum article",https://openalex.org/W4393993336,True
754,THEORY,2018,Elementa Science of the Anthropocene,20,10.1525/elementa.315,Imagining socioecological transformation: An analysis of the Welsh Government’s policy innovations and orientations to the future,R1 two+ pillars,Welsh Government imaginaries; interpretive,https://openalex.org/W2888245499,True
755,EX1,2020,Sustainability,20,10.3390/su12229678,"Spatio-Temporal Variations of Crop Water Footprint and Its Influencing Factors in Xinjiang, China during 1988–2017",R1 two+ pillars,Xinjiang crop water footprint,https://openalex.org/W3105397511,True
756,OFF,2021,Science and innovation,20,10.15407/scine17.03.003,Statistical Indicators of Cybersecurity Development in the Context of Digital Transformation of Economy and Society,R1 two+ pillars,cybersecurity indicators,https://openalex.org/W3180471171,True
757,EX1,2021,Energies,20,10.3390/en14144362,Transforming Access to Clean Energy Technologies in the Global South: Learning from Lighting Africa in Kenya,R1 two+ pillars; R4 displacement term + cross-national cue,"Lighting Africa, Kenya",https://openalex.org/W3185189421,True
758,PASS,2023,Environmental Science and Pollution Research,20,10.1007/s11356-023-26631-z,Resource productivity and environmental degradation in EU-27 countries: context of material footprint,R1 two+ pillars; R2 material term + cross-national cue,"ESPR 2023: resource productivity -> environmental degradation, EU-27 2000-2020, subsamples by material footprint level, linear/non-linear ARDL. Cross-national, material-footprint context; check outcome and technology term at full text",https://openalex.org/W4361299165,True
759,OFF,2023,Development and Change,20,10.1111/dech.12785,Common Challenges for All? A Critical Engagement with the Emerging Vision for Post‐pandemic Development Studies,R1 two+ pillars; R4 displacement term + cross-national cue,development studies debate,https://openalex.org/W4386391211,True
760,DISP,2025,Journal of World-Systems Research,2,10.5195/jwsr.2025.1298,Ecological Unequal Exchange,R1 two+ pillars; R2 material term + cross-national cue; R4 displacement term + cross-national cue,JWSR 2025 'Ecological Unequal Exchange': MFA of net RME flows by income group 1970-2024 (HICs net imports 290 Gt; new phase of intensified disparities since 2015). Updates Dorninger et al. 2021; priority for Section 5,https://openalex.org/W4409540095,True
769,PASS,2024,Energies,19,10.3390/en17040904,Assessing the Impacts of Technological Innovation on Carbon Emissions in MENA Countries: Application of the Innovation Curve Theory,R1 two+ pillars,six MENA countries 1990-2019: patents -> CO2 (innovation Kuznets curve). Genre,https://openalex.org/W4391846548,True
773,THEORY,2019,Sustainability,87,10.3390/su11164374,Overcoming the Myths of Mainstream Economics to Enable a New Wellbeing Economy,R2 material term + cross-national cue,wellbeing economy essay,https://openalex.org/W2968303690,True
785,EX1,2020,Environmental Research Letters,32,10.1088/1748-9326/abb502,A two-stage clustering approach to investigate lifestyle carbon footprints in two Australian cities,R2 material term + cross-national cue,Sydney and Melbourne households,https://openalex.org/W3083185741,True
788,OFF,2019,Globalizations,52,10.1080/14747731.2019.1651518,Climate justice and sustained transnational mobilization,R4 displacement term + cross-national cue,climate justice mobilisation,https://openalex.org/W2969811253,True
789,PASS,2020,Energies,15,10.3390/en13246671,Decoupling Economic Growth from Fossil Fuel Use—Evidence from 141 Countries in the 25-Year Perspective,R2 material term + cross-national cue,"Energies 2020: decoupling of growth from fossil-fuel use, 141 countries over 25 years, Tapio; DMC vs material footprint of fossil fuels compared; absolute decoupling appears only with DMC. Strong candidate: territorial vs consumption-based decoupling, 141 countries",https://openalex.org/W3113007429,True
798,EX1,2017,Social Thought and Research,1,10.17161/1808.25570,A Temporal and Spatial Analysis of Anthropogenic Drivers of Environmental Impact For 30 Chinese Provinces Across three Regions Between 1997 and 2009,R1 two+ pillars,30 Chinese provinces,https://openalex.org/W2775777764,True
804,EX1,2022,Frontiers in Environmental Science,17,10.3389/fenvs.2022.965679,Role of green energy technology on ecological footprint in China: Evidence from Beijing-Tianjin-Hebei region,R1 two+ pillars,Beijing-Tianjin-Hebei,https://openalex.org/W4292183243,True
805,OFF,2022,СЕВЕР И РЫНОК формирование экономического порядка,17,10.37614/2220-802x.3.2022.77.002,Designing entrepreneurial networks: development of corporations network potential evaluation method for corporations operating in the Russian Arctic.,R1 two+ pillars,Russian Arctic entrepreneurship,https://openalex.org/W4297998576,True
807,PASS,2023,Sustainable Production and Consumption,10,10.1016/j.spc.2023.09.003,The influence of technology improvements and the consistency of environmental and economic indicators on decoupling of greenhouse gas emissions and economic growth,R1 two+ pillars; R2 material term + cross-national cue,Sustainable Production and Consumption 2023: decoupling of GHG from growth in 44 economies 2005-2015 using technology-adjusted consumption-based emissions; technology disparity and consumption perspective explicit. Strong candidate,https://openalex.org/W4386514784,True
